id,context_final,utterance_final,sarcasm_label
1_4789,"RAJ: Stupid Aquaman. | LEONARD: If it makes you feel any better, when I was dating Penny, she used to flip out on me all the time. | PERSON: Whoa. You dated Penny? | LEONARD: She didn't tell you? | PERSON: She told me she dated a guy named Leonard. | PERSON: Who would have thought it was you? | LEONARD: Who else would it be?","John: I don't know. Somebody bigger and... Yeah, sure. Why not you?",1
1_2119,"HOWARD: but wait to be captured or killed. | Nancy: That's the worst part, the waiting. | HOWARD: All the while knowing that there's a paint pellet out there with your name on it. | Nancy: The big wet ball of death.","NANCY: Kind of makes you feel more alive, doesn't it?",1
1_3545,"HOWARD: There's a 39.95 lover's special at P.F. Chang's. | HOWARD: Egg rolls, dumplings, bottomless wok, and you get your picture taken on the big marble horse out front. | SHELDON: Given that Saint Valentine was a third century Roman priest who was stoned and beheaded, wouldn't a more appropriate celebration of the evening be taking one's steady gal to witness a brutal murder?","HOWARD: I understand your point, but given a choice, Jews always go with Chinese food.",1
1_6683,"RAJ: Buzz Lightyear is not real. | HOWARD: No, that's not what I'm talking about. | RAJ: Well, are you talking about when he thought he was real? | HOWARD: No | RAJ: Okay, um... how about ""Crash""? 
Howard ""Crash"" Wolowitz.","HOWARD: Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""",1
1_6769,"SHELDON: All right. | SHELDON: I'm no stranger to a little gray matter. | SHELDON: Locus coeruleus. | SHELDON: Locus coeruleus. | AMY: You're getting warmer-- it is, indeed, in the brain.","AMY: Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.",1
1_7047,"SHELDON: Wrong. Leonard? | LEONARD: Horse, but mostly just for the height. | LEONARD: A little bit for the genital girth. | SHELDON: Wrong, and let's keep it clean, shall we? | HOWARD: Kangaroo, uh, I'd be Kanga-Jew. | HOWARD: The first of my people to dunk a basketball.","LEONARD: Also instead of just living in your mother's house, you could actually live inside her body.",1
1_1560,"HOWARD: So my friend Leonard is gonna take you home. | PERSON: Okay. Let's go, friend Leonard. | HOWARD: I'll call ya. | PERSON: So are you a scientist like Howard? | LEONARD: No one's a scientist like Howard. | HOWARD: My mother is so gonna love her.",SHELDON: How nice. Maybe they can carpool when they visit you in federal prison.,1
1_11913,PENNY: I don't think I've eaten that much in my entire life.,HOWARD: It's why my people wandered the desert for 40 years. Took that long to walk it off.,1
1_6039,"BERNADETTE: He can't go to space. | BERNADETTE: He's like a baby bird. | BERNADETTE: Do you know he once got an asthma attack from reading an old library book? | AMY: You're kidding. | PENNY: No, I was there that day. | PENNY: Sheldon threw his back out handing him that book.",BERNADETTE: I don't know what I'm going to do. I don't want to break up over this.,0
1_3476,SHELDON: My new computer came with Windows 7. | SHELDON: Windows 7 is much more use r- friendly than Windows Vista. | SHELDON: I don't like that.,LEONARD: Don't you think looking for a new city to live in is a bit of an overreaction?,0
1_2669,"PENNY: What time is it? | LEONARD: It's 7:00 a.m. I'm sorry it's early, but we're leaving soon, and I needed to talk to you.",LEONARD: What did you mean when you said you were going to miss me?,0
1_10977,"BERNADETTE: Like what? Your incomplete set of <i>Star Trek</i> collector plates? | HOWARD: For your information, I just bought the last one I needed on eBay. | BERNADETTE: Without asking me? | HOWARD: There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. | BERNADETTE: How much, Howie? | HOWARD: Not a lot. | BERNADETTE: How much?",HOWARD: Let's not talk about this in front of our friends.,0
1_533,"LEONARD: Because it's not a costume, it's a flight suit. | PENNY: Ok, alright, moving on. | PENNY: Oh, wow. A paisley shirt. | LEONARD: It goes with my corduroy suit. | PENNY: If you mean it should end up in the same place, then I agree. | PENNY: Is this your only tie?","LEONARD: Technically, yes. But, if you'll notice... It's reversible!",0
1_5169,"AMY: Your flaring nostrils indicate otherwise. | SHELDON: Cluck-cluck-cluck. | AMY: Sheldon, look at me.
I think it's time to face the fact that Leonard is the nucleus of your social group.
Where he goes, the group goes. | SHELDON: Leonard the nucleus? That makes no sense. | SHELDON: I'm the whimsical elf that everyone looks to for a good time.",AMY: I'm not saying that you're not fun. You're the most fun person I know.,0
2_498,"PERSON1: Where's Monica? | MONICA: Over here Dad | PERSON2: How to you zoom out? There she is | JOEY: Some girl ate Monica | MONICA: Shut up, the camera adds 10 pounds.","CHANDLER: Uh, so how many cameras are actually on you.",1
2_377,"JOEY: Oh Mommy, Oh Daddy, I am a big ol Baddy. | ROSS: I guess he must have gotten the part in the play.",CHANDLER: Yeah either that or gloria estefan was right eventually the rhythm is going to get you,1
2_84,"RACHEL: Two week straight and she hasn't smoked since. | MONICA: So how did you guys meet? | PERSON1: Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. | PERSON2: And he was my best student. | PERSON1: Yes she was my best teacher.","CHANDLER: If that doesn't keep kids in school, what will?",1
2_204,"RACHEL: What if you could keep the apartment and get the tickets. | JOEY: Done | RACHEL: Let me finish, talking about a bet, winner takes all | JOEY: We could end up with nothing. | PHOEBE: Or you could end up with everything | JOEY: I like that! | MONICA: So what do you say? | CHANDLER: No | MONICA: Just do it!","CHANDLER: Oh Oh, I am convinced!",1
2_310,"CHANDLER: Hey, I need you to set me up for a joke. Later when Monica is around I need you to ask me about firetrucks | JOEY: I don't know Chandler, I am not so good with remembering lines.",CHANDLER: Well thank God your livelihood doesn't depend on it.,1
2_518,"CHANDLER: Okay, lets find these birds. | JOEY: Wait wait, you hear that? There are in the table? | CHANDLER: That can't be good | JOEY: We have to get them out of there | CHANDLER: how? | JOEY: Maybe we can lure them out, you know of any bird calls?",CHANDLER: Oh tons. I am quite the woodsman.,1
2_573,"ROSS: Look I drew a sketch of how we are gonna do it ok? Rach, that's you, that's the couch | RACHEL: What's that? | ROSS: Oh, that's me. | RACHEL: Wow! Certainly think a lot of yourself. | ROSS: No, that's my arm.","CHANDLER: Oh I see, I thought you just really really liked your new couch.",1
2_246,"JOEY: Oh no no, that's the beauty of it, it goes with everything. You put this on, you are good to go! | CHANDLER: Hell I have never been good to go, so, what the hell why not try some jewellery huh? | JOEY: Oh man! You are so wearing that bracelet! | CHANDLER: I so am | JOEY: You have any idea what this will do to your sex life?","CHANDLER: Well, it will probably slow me down at first. But once I am used to the extra weight, I ll get back on track.",1
2_441,"ROSS: Oh. | PHOEBE: Please, right now, no, every time I see him it's like  'Is it on the lose?'  'Is it watching me?' | CHANDLER: We can't tell him, you can't go up to a guy you barely know and talk about his.... stuff.","ROSS: He's right, even if it's to say something complementary.",0
2_53,"PERSON: Oh good, you're here. Yeah, and I was worried that it was going to be uncomfortable. | RACHEL: I know Mona, just hear me out. First of all, I'm so sorry about my father yelling at you, but I heard you totally held your own.",RACHEL: You're gonna have to tell me how you did that.,0
2_419,"JOEY: Look, Pheebs, I just, I wanna apologize for, for saying that your method was stupid and-and maybe ask you to be my teacher again. And-and I promise, I won't touch a guitar until you say I'm ready. You really think I'm ready?",PHOEBE: Uh-huh!,0
2_188,"RACHEL: I just saw Danny getting on the subway with a girl and he had his arm around her. | MONICA: Oh, honey, I'm sorry. | RACHEL: Well, you should be, this is all your fault! You meddled in our relationship!!",MONICA: You had no relationship!!,0
2_426,PERSON: HEY!! Do you Oh come on! Morning's here!  Morning's here! The morning is here! Sunshine is here! RACHEL:I hate this apartment,"JOEY: Are you kidding? I love that guy!  Morning's here! Morning is here,",0
2_13,"MONICA: Rachel, I have not missed one question the whole game. I own this game! Look at my hand. | RACHEL: Why? Do you have the answers written on there? | MONICA: No! Steady as a rock! Now, are you with me.","RACHEL: All right, let's do it.",0
