context,text,label
LEONARD: I never would have identified the fingerprints of string theory in the aftermath of the Big Bang. | SHELDON: My apologies. What's your plan?,SHELDON: It's just a privilege to watch your mind at work.,1
"HOWARD: This is one of my favorite places to kick back after a quest. They have a great house ale. | PENNY: Cool tiger. | HOWARD: Yeah, I've had him since level ten. | HOWARD: His name is Buttons. | HOWARD: Anyway, if you had your own game character we could hang out, maybe go on a quest. | PENNY: That sounds interesting. | HOWARD: You'll think about it?",PENNY: I don't think I'll be able to stop thinking about it.,1
"SHELDON: Great Caesar's ghost, look at this place. | LEONARD: So Penny's a little messy. | SHELDON: A little messy? | SHELDON: The Mandelbrot set of complex numbers is a little messy. This is chaos. | SHELDON: Excuse me. | SHELDON: Explain to me an organizational system where a tray of flatware on a couch is valid.",SHELDON: I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,1
"SHELDON: Oh, good Lord. | LEONARD: God, that's a good song.","SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.",1
LEONARD: How do I look? | SHELDON: Could you be more specific? | LEONARD: Can you tell I'm perspiring a little?,SHELDON: No. The dark crescent-shaped patterns under your arms conceal it nicely.,1
"SHELDON: You know, I am not going to enjoy this party. | LEONARD: I know, I'm familiar with you. | SHELDON: The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes. | LEONARD: Yes, I was there. | SHELDON: You know what's interesting about caves? | LEONARD: What? | SHELDON: Nothing. | LEONARD: Then we'll avoid him, we'll meet the new department head, congratulate him, shake his hand and go.","SHELDON: How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.",1
"PERSON: He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him. | PERSON: You're in? | LEONARD: Yeah, sure, why not? | PERSON: Great, we rehearse on Tuesdays at your place. | LEONARD: Why at my place? | PERSON: Department of Energy said our regular space is kind of a hot zone. | PERSON: Nice meeting you. | PENNY: Yeah, you, too.
Leonard, I didn't know you played the cello.","LEONARD: Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.",1
"SHELDON: And I cannot believe people pay for horoscopes, but on a more serious note, it's 8:13 and we're still not playing Halo. | LEONARD: Fine. We'll just play one-on-one until he gets back. | SHELDON: One-on-one? We don't play one-on-one. | SHELDON: We play teams, not one-on-one. | SHELDON: One-on-one. | LEONARD: The only way we can play teams at this point is if we cut Raj in half.","RAJ: Sure, cut the foreigner in half. There's a billion more where he came from.",1
"SHELDON: This is Dr. Sheldon Cooper. | SHELDON: Yeah, I need to cancel my membership to the planetarium.","SHELDON: Well, I'm sorry, too, but there's just no room for you in my wallet.",1
"HOWARD: I promised my mother. | RAJ: I suppose you could have your android penis circumcised. | RAJ: But that's something your rabbi would have to discuss with the manufacturer. | SHELDON: Not to mention you'd have to power down on saturdays. | LEONARD: Sheldon, why is this letter in the trash?","SHELDON: Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.",1
