example_id,split,text,context,true_label,num_models_correct,num_models_wrong,total_models,num_FN,num_FP,models_wrong,models_correct,pred_gemma2_9b_context,pred_gemma2_9b_no_context,pred_qwen2.5_14b_context,pred_qwen2.5_14b_no_context,pred_phi3_medium_context,pred_phi3_medium_no_context
528,train,"SHELDON: I'd like to respond to that sarcastically: Yes, I relish the thought of a stranger covering my body with oil and rubbing it.",AMY: the organism responsible for Michelob Lite. | AMY: Is there something wrong with your neck? | SHELDON: It's a little stiff. | SHELDON: What a remarkably fragile structure to support such a valuable payload. | SHELDON: Not unlike balancing a Faberge egg on a Pixie Stick. | AMY: Have you considered massage?,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
333,train,CHANDLER: Spanish midgets wrestling Julie! Okay yes I see how they got there.,"ROSS: Man, I sure miss Julie",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
327,train,"PENNY: Oh, you know, that is so weird that yours came and mine didn't.",PENNY: Hey Sheldon. | SHELDON: Hello Penny. | PENNY: Get anything good? | SHELDON: Just the latest copy of Applied Particle Physics quarterly.,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
326,train,"CHANDLER: Let me think! Let me think! Oh, I don't care.",JOEY: The wheel or pick a Google card.,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
320,train,PENNY: I don't know. It just died. I'm getting a bunch of static.,"PENNY: Hey, guys, I need to use your TV. | SHELDON: What's wrong with your TV?",0,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0
319,train,PERSON: You were right. Your larynx is terribly inflamed. I've never seen anything like it.,PERSON: Oh no | SHELDON: What?,1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
114,train,HOWARD: I was gonna say we pick up a cake or a pie. But an insult to her faith is always thoughtful.,"HOWARD: We can't show up to your mom's empty-handed. 
We should bring something. | SHELDON: I already am.
I'm bringing the gift of knowledge. | HOWARD: Oh, boy. | SHELDON: Despite what her Bible says, recent archeological studies indicate that although camels are referenced in the Old Testament, they didn't exist in the Middle East until hundreds of years later.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
309,train,"HOWARD: Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.","LEONARD: Did I miss anything? Did they kick Giselle off? | RAJ: Not yet, but her underwater photo shoot was an embarrassment.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
308,train,"SHELDON: Excuse me, I'm thirsty, so I'm going to go to the refrigerator and get myself a refreshing beverage.","RAJ: Oh, there it is: now that you don't have a girlfriend, you want to hang out with me again. | LEONARD: I never stopped hanging out with you. Oh, please, we all know I'm the friend you call when you have no other options. If we were the Justice League, I'd be Aquaman. | HOWARD: I wish you were Aquaman. Then I could send you to scoop my mom out of the old lady tank.",0,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",0,0,0,0,0,0
303,train,"SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.","SHELDON: Oh, good Lord. | LEONARD: God, that's a good song.",1,6,0,6,0,0,None,"gemma2_9b_context, gemma2_9b_no_context, qwen2.5_14b_context, qwen2.5_14b_no_context, phi3_medium_context, phi3_medium_no_context",1,1,1,1,1,1
