example_id,context,original_text,original_speaker,true_label,true_label_str,last_speaker_in_context,model_intent,model_label,generated_text,intent_matches_human,generation_success,generation_time_seconds,raw_response
0,"RAJ: Stupid Aquaman. | LEONARD: If it makes you feel any better, when I was dating Penny, she used to flip out on me all the time. | PERSON: Whoa. You dated Penny? | LEONARD: She didn't tell you? | PERSON: She told me she dated a guy named Leonard. | PERSON: Who would have thought it was you? | LEONARD: Who else would it be?","PERSON: I don't know. Somebody bigger and... Yeah, sure. Why not you?",PERSON,1,SARCASTIC,LEONARD,LITERAL,0.0,"That's the guy from across the hall, obviously.",False,True,8.22738528251648,"INTENT: LITERAL
RESPONSE: That's the guy from across the hall, obviously."
1,"HOWARD: but wait to be captured or killed. | PERSON: That's the worst part, the waiting. | HOWARD: All the while knowing that there's a paint pellet out there with your name on it. | PERSON: The big wet ball of death.","PERSON: Kind of makes you feel more alive, doesn't it?",PERSON,1,SARCASTIC,PERSON,SARCASTIC,1.0,"Oh, totally relaxing. Paintballs are the cuddly creatures of war.",True,True,3.597416400909424,"INTENT: SARCASTIC
RESPONSE: Oh, totally relaxing. Paintballs are the cuddly creatures of war."
2,"HOWARD: There's a 39.95 lover's special at P.F. Chang's. | HOWARD: Egg rolls, dumplings, bottomless wok, and you get your picture taken on the big marble horse out front. | SHELDON: Given that Saint Valentine was a third century Roman priest who was stoned and beheaded, wouldn't a more appropriate celebration of the evening be taking one's steady gal to witness a brutal murder?","HOWARD: I understand your point, but given a choice, Jews always go with Chinese food.",HOWARD,1,SARCASTIC,SHELDON,SARCASTIC,1.0,"Yeah, that'd definitely set the mood for romance.",True,True,3.5608713626861572,"INTENT: SARCASTIC
RESPONSE: Yeah, that'd definitely set the mood for romance."
3,"RAJ: Buzz Lightyear is not real. | HOWARD: No, that's not what I'm talking about. | RAJ: Well, are you talking about when he thought he was real? | HOWARD: No | RAJ: Okay, um... how about ""Crash""? 
Howard ""Crash"" Wolowitz.","HOWARD: Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""",HOWARD,1,SARCASTIC,RAJ,SARCASTIC,1.0,"Oh yeah, because everyone believes in a space ranger.",True,True,3.250462055206299,"INTENT: SARCASTIC
RESPONSE: Oh yeah, because everyone believes in a space ranger."
4,"SHELDON: All right. | SHELDON: I'm no stranger to a little gray matter. | SHELDON: Locus coeruleus. | SHELDON: Locus coeruleus. | AMY: You're getting warmer-- it is, indeed, in the brain.","AMY: Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.",AMY,1,SARCASTIC,AMY,LITERAL,0.0,"Yes, thank you for confirming that.",False,True,2.883790969848633,"INTENT: LITERAL
RESPONSE: Yes, thank you for confirming that."
5,"SHELDON: Wrong. Leonard? | LEONARD: Horse, but mostly just for the height. | LEONARD: A little bit for the genital girth. | SHELDON: Wrong, and let's keep it clean, shall we? | HOWARD: Kangaroo, uh, I'd be Kanga-Jew. | HOWARD: The first of my people to dunk a basketball.","LEONARD: Also instead of just living in your mother's house, you could actually live inside her body.",LEONARD,1,SARCASTIC,HOWARD,SARCASTIC,1.0,"Nice, Howard. Next up, the Nobel Prize?",True,True,3.587761878967285,"INTENT: SARCASTIC
RESPONSE: Nice, Howard. Next up, the Nobel Prize?"
8,"LEONARD: Do you really need the Honorary Justice League of American membership card? | SHELDON: It's been in every wallet I've owned since I was five. | LEONARD: Why? | SHELDON: It says, ""Keep this on your person at all times."" | SHELDON: It's right here under Batman's signature. | RAJ: and this is Leonard and Sheldon's apartment. | HOWARD: Guess whose parents just got broadband.","RAJ: Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",RAJ,0,LITERAL,HOWARD,SARCASTIC,1.0,"About time, now we can finally stream all the Star Trek marathons.",False,True,4.04515814781189,"INTENT: SARCASTIC
RESPONSE: About time, now we can finally stream all the Star Trek marathons."
10,"PENNY: What time is it? | LEONARD: It's 7:00 a.m. I'm sorry it's early, but we're leaving soon, and I needed to talk to you.",LEONARD: What did you mean when you said you were going to miss me?,LEONARD,0,LITERAL,LEONARD,,,"Oh great, morning talks at the crack of dawn! Fun times.",,True,3.54720401763916,"INTENT: SARCASM
RESPONSE: Oh great, morning talks at the crack of dawn! Fun times."
11,"BERNADETTE: Like what? Your incomplete set of <i>Star Trek</i> collector plates? | HOWARD: For your information, I just bought the last one I needed on eBay. | BERNADETTE: Without asking me? | HOWARD: There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. | BERNADETTE: How much, Howie? | HOWARD: Not a lot. | BERNADETTE: How much?",HOWARD: Let's not talk about this in front of our friends.,HOWARD,0,LITERAL,BERNADETTE,SARCASTIC,1.0,"Oh, just the price of a small planet.",False,True,3.844191789627075,"INTENT: SARCASTIC
RESPONSE: Oh, just the price of a small planet."
12,"LEONARD: Because it's not a costume, it's a flight suit. | PENNY: Ok, alright, moving on. | PENNY: Oh, wow. A paisley shirt. | LEONARD: It goes with my corduroy suit. | PENNY: If you mean it should end up in the same place, then I agree. | PENNY: Is this your only tie?","LEONARD: Technically, yes. But, if you'll notice... It's reversible!",LEONARD,0,LITERAL,PENNY,SARCASTIC,1.0,"Oh yeah, it's perfect for a night out!",False,True,3.6122097969055176,"INTENT: SARCASTIC
RESPONSE: Oh yeah, it's perfect for a night out!"
