id,text,context,true_label,true_label_binary,has_video,has_audio,text_only_prediction,text_only_pred_binary,text_only_correct,text_only_time,text_only_raw,audio_only_prediction,audio_only_pred_binary,audio_only_correct,audio_only_time,audio_only_raw,video_only_prediction,video_only_pred_binary,video_only_correct,video_only_time,video_only_raw,text_audio_prediction,text_audio_pred_binary,text_audio_correct,text_audio_time,text_audio_raw,text_video_prediction,text_video_pred_binary,text_video_correct,text_video_time,text_video_raw,text_audio_video_prediction,text_audio_video_pred_binary,text_audio_video_correct,text_audio_video_time,text_audio_video_raw
1_4789,"John: I don't know. Somebody bigger and... Yeah, sure. Why not you?","RAJ: Stupid Aquaman. | LEONARD: If it makes you feel any better, when I was dating Penny, she used to flip out on me all the time. | PERSON: Whoa. You dated Penny? | LEONARD: She didn't tell you? | PERSON: She told me she dated a guy named Leonard. | PERSON: Who would have thought it was you? | LEONARD: Who else would it be?",1,1,False,False,SARCASTIC,1,True,0.51,SARCASTIC,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No video
1_2119,"NANCY: Kind of makes you feel more alive, doesn't it?","HOWARD: but wait to be captured or killed. | Nancy: That's the worst part, the waiting. | HOWARD: All the while knowing that there's a paint pellet out there with your name on it. | Nancy: The big wet ball of death.",1,1,False,False,SARCASTIC,1,True,0.81,SARCASTIC,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No video
1_3545,"HOWARD: I understand your point, but given a choice, Jews always go with Chinese food.","HOWARD: There's a 39.95 lover's special at P.F. Chang's. | HOWARD: Egg rolls, dumplings, bottomless wok, and you get your picture taken on the big marble horse out front. | SHELDON: Given that Saint Valentine was a third century Roman priest who was stoned and beheaded, wouldn't a more appropriate celebration of the evening be taking one's steady gal to witness a brutal murder?",1,1,False,False,LITERAL,0,False,0.49,LITERAL,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No video
1_6683,"HOWARD: Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""","RAJ: Buzz Lightyear is not real. | HOWARD: No, that's not what I'm talking about. | RAJ: Well, are you talking about when he thought he was real? | HOWARD: No | RAJ: Okay, um... how about ""Crash""? 
Howard ""Crash"" Wolowitz.",1,1,True,True,SARCASTIC,1,True,0.46,SARCASTIC,SARCASTIC,1.0,True,1.31,SARCASTIC,SARCASTIC,1.0,True,1.96,SARCASTIC,SARCASTIC,1.0,True,1.63,SARCASTIC,SARCASTIC,1.0,True,2.39,SARCASTIC,SARCASTIC,1.0,True,3.38,SARCASTIC
1_6769,"AMY: Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.","SHELDON: All right. | SHELDON: I'm no stranger to a little gray matter. | SHELDON: Locus coeruleus. | SHELDON: Locus coeruleus. | AMY: You're getting warmer-- it is, indeed, in the brain.",1,1,True,True,SARCASTIC,1,True,0.59,SARCASTIC,SARCASTIC,1.0,True,1.64,SARCASTIC,SARCASTIC,1.0,True,2.13,SARCASTIC,SARCASTIC,1.0,True,1.35,SARCASTIC,SARCASTIC,1.0,True,1.88,SARCASTIC,SARCASTIC,1.0,True,2.07,SARCASTIC
1_7047,"LEONARD: Also instead of just living in your mother's house, you could actually live inside her body.","SHELDON: Wrong. Leonard? | LEONARD: Horse, but mostly just for the height. | LEONARD: A little bit for the genital girth. | SHELDON: Wrong, and let's keep it clean, shall we? | HOWARD: Kangaroo, uh, I'd be Kanga-Jew. | HOWARD: The first of my people to dunk a basketball.",1,1,False,False,SARCASTIC,1,True,0.88,SARCASTIC,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No video
1_1560,SHELDON: How nice. Maybe they can carpool when they visit you in federal prison.,"HOWARD: So my friend Leonard is gonna take you home. | PERSON: Okay. Let's go, friend Leonard. | HOWARD: I'll call ya. | PERSON: So are you a scientist like Howard? | LEONARD: No one's a scientist like Howard. | HOWARD: My mother is so gonna love her.",1,1,False,False,SARCASTIC,1,True,0.98,SARCASTIC,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No video
1_11913,HOWARD: It's why my people wandered the desert for 40 years. Took that long to walk it off.,PENNY: I don't think I've eaten that much in my entire life.,1,1,False,False,SARCASTIC,1,True,0.67,SARCASTIC,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No audio,,,,0.0,No video,,,,0.0,No video
1_6039,BERNADETTE: I don't know what I'm going to do. I don't want to break up over this.,"BERNADETTE: He can't go to space. | BERNADETTE: He's like a baby bird. | BERNADETTE: Do you know he once got an asthma attack from reading an old library book? | AMY: You're kidding. | PENNY: No, I was there that day. | PENNY: Sheldon threw his back out handing him that book.",0,0,True,True,LITERAL,0,True,0.57,LITERAL,SARCASTIC,1.0,False,1.42,SARCASTIC,LITERAL,0.0,True,3.75,LITERAL,LITERAL,0.0,True,1.31,LITERAL,LITERAL,0.0,True,2.32,LITERAL,LITERAL,0.0,True,1.89,LITERAL
1_3476,LEONARD: Don't you think looking for a new city to live in is a bit of an overreaction?,SHELDON: My new computer came with Windows 7. | SHELDON: Windows 7 is much more use r- friendly than Windows Vista. | SHELDON: I don't like that.,0,0,True,True,LITERAL,0,True,0.51,LITERAL,SARCASTIC,1.0,False,1.26,SARCASTIC,SARCASTIC,1.0,False,2.54,SARCASTIC,SARCASTIC,1.0,False,1.84,SARCASTIC,SARCASTIC,1.0,False,3.52,SARCASTIC,SARCASTIC,1.0,False,2.29,SARCASTIC
