feature,correct_mean,correct_std,incorrect_mean,incorrect_std,difference,diff_pct,t_statistic,p_value,significant
char_length,68.3035,28.4434,84.1126,44.885,15.8091,23.15,-10.2756,0.0,True
word_count,12.4853,6.0991,15.3023,8.1464,2.817,22.56,-9.3442,0.0,True
avg_word_length,3.7668,0.6402,3.7679,0.631,0.0012,0.03,-0.0422,0.9664,False
sentence_count,1.46,0.7102,1.88,1.0001,0.42,28.77,-11.6453,0.0,True
exclamation_count,0.2604,0.6054,0.2974,0.6071,0.037,14.21,-1.3982,0.1622,False
question_count,0.2351,0.4687,0.284,0.5001,0.0488,20.77,-2.3285,0.02,True
ellipsis_count,0.0198,0.1394,0.0526,0.2234,0.0328,165.52,-4.3113,0.0,True
quotes_count,0.6904,0.7556,0.7907,0.8381,0.1003,14.53,-2.9222,0.0035,True
comma_count,0.9077,1.0936,0.989,0.949,0.0813,8.95,-1.7819,0.0749,False
has_exclamation,0.1887,0.3914,0.2203,0.4147,0.0317,16.78,-1.813,0.07,False
has_question,0.2153,0.4112,0.2607,0.4393,0.0454,21.09,-2.4663,0.0137,True
has_ellipsis,0.0198,0.1394,0.0526,0.2234,0.0328,165.52,-4.3113,0.0,True
punct_density,0.1384,0.1606,0.1293,0.1466,-0.0092,-6.62,1.3475,0.178,False
has_negation,0.2427,0.4288,0.2118,0.4088,-0.0309,-12.74,1.6776,0.0936,False
negation_count,0.3582,0.9653,0.2693,0.6405,-0.0889,-24.82,2.358,0.0185,True
has_intensifier,0.0875,0.2827,0.1077,0.3102,0.0202,23.11,-1.581,0.114,False
intensifier_count,0.093,0.3087,0.1273,0.3879,0.0343,36.94,-2.3176,0.0206,True
has_sarcasm_marker,0.3049,0.4605,0.3941,0.489,0.0893,29.28,-4.3407,0.0,True
sarcasm_marker_count,0.3766,0.6339,0.6181,0.8723,0.2415,64.12,-7.5919,0.0,True
type_token_ratio,0.9454,0.0935,0.9298,0.0962,-0.0156,-1.65,3.7766,0.0002,True
all_caps_count,0.0034,0.0584,0.0526,0.2234,0.0492,1440.0,-7.9539,0.0,True
positive_word_count,0.2098,0.4594,0.3293,0.5078,0.1194,56.9,-5.7279,0.0,True
negative_word_count,0.0731,0.3063,0.0453,0.2357,-0.0278,-38.08,2.2529,0.0244,True
sentiment_polarity,0.1271,0.4517,0.2717,0.5165,0.1446,113.73,-6.9557,0.0,True
sentiment_strength,0.0232,0.0521,0.0295,0.0486,0.0063,27.06,-2.832,0.0047,True
starts_with_interjection,0.1729,0.3783,0.2778,0.4482,0.1049,60.67,-5.9349,0.0,True
has_rhetorical_pattern,0.0813,0.2734,0.06,0.2376,-0.0214,-26.27,1.873,0.0612,False
has_contrast,0.134,0.3407,0.0832,0.2764,-0.0507,-37.87,3.6398,0.0003,True
