tier,model,input_type,names_normalized,pooling,dataset,accuracy,f1_macro,precision_macro,recall_macro,f1_class0,f1_class1,precision_class0,precision_class1,recall_class0,recall_class1,tp,tn,fp,fn
tier1,majority,NA,False,NA,gold,0.42857142857142855,0.3,0.21428571428571427,0.5,0.6,0.0,0.42857142857142855,0.0,1.0,0.0,0,12,0,16
tier1,majority,NA,False,NA,orange_test,0.5074626865671642,0.33663366336633666,0.2537313432835821,0.5,0.6732673267326733,0.0,0.5074626865671642,0.0,1.0,0.0,0,34,0,33
tier1,random,NA,False,NA,gold,0.5357142857142857,0.5204216073781291,0.5213903743315508,0.5208333333333334,0.43478260869565216,0.6060606060606061,0.45454545454545453,0.5882352941176471,0.4166666666666667,0.625,10,5,7,6
tier1,random,NA,False,NA,orange_test,0.4925373134328358,0.49242424242424243,0.49242424242424243,0.49242424242424243,0.5,0.48484848484848486,0.5,0.48484848484848486,0.5,0.48484848484848486,16,17,17,17
tier2,tfidf_logreg,context_only,False,NA,gold,0.5357142857142857,0.5351213282247764,0.5410256410256411,0.5416666666666667,0.5185185185185185,0.5517241379310345,0.4666666666666667,0.6153846153846154,0.5833333333333334,0.5,8,7,5,8
tier2,tfidf_logreg,context_only,True,NA,gold,0.6428571428571429,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.5833333333333334,0.6875,0.5833333333333334,0.6875,0.5833333333333334,0.6875,11,7,5,5
tier2,tfidf_logreg,context_only,False,NA,orange_test,0.6417910447761194,0.6378378378378378,0.6458333333333333,0.6403743315508021,0.6756756756756757,0.6,0.625,0.6666666666666666,0.7352941176470589,0.5454545454545454,18,25,9,15
tier2,tfidf_logreg,context_only,True,NA,orange_test,0.6268656716417911,0.6268656716417911,0.6270053475935828,0.6270053475935828,0.6268656716417911,0.6268656716417911,0.6363636363636364,0.6176470588235294,0.6176470588235294,0.6363636363636364,21,21,13,12
tier2,tfidf_logreg,context_text,False,NA,gold,0.6428571428571429,0.641025641025641,0.6428571428571428,0.6458333333333333,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.625,10,8,4,6
tier2,tfidf_logreg,context_text,True,NA,gold,0.5,0.48958333333333337,0.48958333333333337,0.48958333333333337,0.4166666666666667,0.5625,0.4166666666666667,0.5625,0.4166666666666667,0.5625,9,5,7,7
tier2,tfidf_logreg,context_text,False,NA,orange_test,0.6716417910447762,0.668018018018018,0.6768518518518518,0.6702317290552584,0.7027027027027027,0.6333333333333333,0.65,0.7037037037037037,0.7647058823529411,0.5757575757575758,19,26,8,14
tier2,tfidf_logreg,context_text,True,NA,orange_test,0.6716417910447762,0.668018018018018,0.6768518518518518,0.6702317290552584,0.7027027027027027,0.6333333333333333,0.65,0.7037037037037037,0.7647058823529411,0.5757575757575758,19,26,8,14
tier2,tfidf_logreg,text_only,False,NA,gold,0.75,0.7470967741935484,0.7461538461538462,0.75,0.72,0.7741935483870968,0.6923076923076923,0.8,0.75,0.75,12,9,3,4
