tier,model,input_type,names_normalized,pooling,dataset,accuracy,f1_macro,precision_macro,recall_macro,f1_class0,f1_class1,precision_class0,precision_class1,recall_class0,recall_class1,tp,tn,fp,fn
tier1,majority,NA,False,NA,gold,0.4286,0.3,0.2143,0.5,0.6,0.0,0.4286,0.0,1.0,0.0,0,12,0,16
tier1,majority,NA,False,NA,orange_test,0.5075,0.3366,0.2537,0.5,0.6733,0.0,0.5075,0.0,1.0,0.0,0,34,0,33
tier1,random,NA,False,NA,gold,0.5357,0.5204,0.5214,0.5208,0.4348,0.6061,0.4545,0.5882,0.4167,0.625,10,5,7,6
tier1,random,NA,False,NA,orange_test,0.4925,0.4924,0.4924,0.4924,0.5,0.4848,0.5,0.4848,0.5,0.4848,16,17,17,17
tier2,tfidf_logreg,context_only,False,NA,gold,0.5357,0.5351,0.541,0.5417,0.5185,0.5517,0.4667,0.6154,0.5833,0.5,8,7,5,8
tier2,tfidf_logreg,context_only,True,NA,gold,0.6429,0.6354,0.6354,0.6354,0.5833,0.6875,0.5833,0.6875,0.5833,0.6875,11,7,5,5
tier2,tfidf_logreg,context_only,False,NA,orange_test,0.6418,0.6378,0.6458,0.6404,0.6757,0.6,0.625,0.6667,0.7353,0.5455,18,25,9,15
tier2,tfidf_logreg,context_only,True,NA,orange_test,0.6269,0.6269,0.627,0.627,0.6269,0.6269,0.6364,0.6176,0.6176,0.6364,21,21,13,12
tier2,tfidf_logreg,context_text,False,NA,gold,0.6429,0.641,0.6429,0.6458,0.6154,0.6667,0.5714,0.7143,0.6667,0.625,10,8,4,6
tier2,tfidf_logreg,context_text,True,NA,gold,0.5,0.4896,0.4896,0.4896,0.4167,0.5625,0.4167,0.5625,0.4167,0.5625,9,5,7,7
tier2,tfidf_logreg,context_text,False,NA,orange_test,0.6716,0.668,0.6769,0.6702,0.7027,0.6333,0.65,0.7037,0.7647,0.5758,19,26,8,14
tier2,tfidf_logreg,context_text,True,NA,orange_test,0.6716,0.668,0.6769,0.6702,0.7027,0.6333,0.65,0.7037,0.7647,0.5758,19,26,8,14
tier2,tfidf_logreg,text_only,False,NA,gold,0.75,0.7471,0.7462,0.75,0.72,0.7742,0.6923,0.8,0.75,0.75,12,9,3,4
tier2,tfidf_logreg,text_only,True,NA,gold,0.6071,0.6066,0.6128,0.6146,0.5926,0.6207,0.5333,0.6923,0.6667,0.5625,9,8,4,7
tier2,tfidf_logreg,text_only,False,NA,orange_test,0.6866,0.6863,0.6866,0.6863,0.6957,0.6769,0.6857,0.6875,0.7059,0.6667,22,24,10,11
tier2,tfidf_logreg,text_only,True,NA,orange_test,0.5373,0.5306,0.5375,0.5357,0.5867,0.4746,0.5366,0.5385,0.6471,0.4242,14,22,12,19
