context,text,label,preprocessed
"PENNY: Hey, how are things going with your parents? | RAJ: Not great. They hired divorce attorneys. | SHELDON: You know, speaking of attorneys, if I ever needed a lawyer, I would not hire She-Hulk.","PENNY: You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon.""",1,"SPEAKER: Hey, how are things going with your parents?
SPEAKER: Not great. They hired divorce attorneys.
SPEAKER: You know, speaking of attorneys, if I ever needed a lawyer, I would not hire She-Hulk."
"BERNADETTE: Should I give him another chance? | LEONARD: It's up to you. He didn't call your experiment stupid. | BERNADETTE: Come here, tushy face. | LEONARD: ""Tushy face. "" Raj, you should've seen Leonard's experiment.","BERNADETTE: Raj, you should've seen Leonard's experiment. The interference pattern was so cool when the electron beam was on.",0,"SPEAKER: Should I give him another chance?
SPEAKER: It's up to you. He didn't call your experiment stupid.
SPEAKER: Come here, tushy face.
SPEAKER: ""Tushy face. "" Raj, you should've seen Leonard's experiment."
"SHELDON: it will establish you as the ""alpha"" male. | SHELDON: You see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin. | SHELDON: If the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love."" | LEONARD: Huh",LEONARD: Would it work if I just punched you in the face?,0,"SPEAKER: it will establish you as the ""alpha"" male.
SPEAKER: You see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin.
SPEAKER: If the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love.""
SPEAKER: Huh"
"CHANDLER: Yes. Yes, there is, they play on Sundays and Monday nights. | RACHEL: Oh shoot! I work Monday nights. | PHOEBE: Umm, this stuffing is amazing. Do you think we should bring them some?","JOEY: When they're hungry enough, they'll come in.",0,"SPEAKER: Yes. Yes, there is, they play on Sundays and Monday nights.
SPEAKER: Oh shoot! I work Monday nights.
SPEAKER: Umm, this stuffing is amazing. Do you think we should bring them some?"
"HOWARD: Hey, have you told your parents you're dating this short glass of skim milk here? | PERSON: Uh... that's different.
First of all, we're not engaged; and second, Indian parents are very protective of their children. | HOWARD: Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.",SHELDON: I gargled with tequila and may have swallowed a teeny bit.,0,"SPEAKER: Hey, have you told your parents you're dating this short glass of skim milk here?
SPEAKER: Uh... that's different. First of all, we're not engaged; and second, Indian parents are very protective of their children.
SPEAKER: Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons."
"SHELDON: They're here. | LEONARD: Stay calm. We don't know anything about them yet. | LEONARD: What are you doing? | SHELDON: I'm checking for musical instruments. | SHELDON: Does that sound like castanets to you? | LEONARD: The box says ""kitchen.""","SHELDON: So? Do cocaine smugglers write ""cocaine"" on the box?",1,"SPEAKER: They're here.
SPEAKER: Stay calm. We don't know anything about them yet.
SPEAKER: What are you doing?
SPEAKER: I'm checking for musical instruments.
SPEAKER: Does that sound like castanets to you?
SPEAKER: The box says ""kitchen."""
"RAJ: You're all inside it, and we hurtle through the very fabric of time. | RAJ: (electronic sound effects playing) And welcome to 20 years in the future. | RAJ: Hey, you guys just time-traveled.
Stop looking so bored.","PENNY: Well, my beer isn't flat and my rack's not saggy. So far, the future's great.",1,"SPEAKER: You're all inside it, and we hurtle through the very fabric of time.
SPEAKER: (electronic sound effects playing) And welcome to 20 years in the future.
SPEAKER: Hey, you guys just time-traveled. Stop looking so bored."
CHANDLER: It was summer. And it was hot. Rachel was there.,"CHANDLER: A lonely grey couch. "" O look "" cried Ned. And then the kingdom was his. The End.",0,SPEAKER: It was summer. And it was hot. Rachel was there.
"ROSS: Hi umm, listen come here, come in. I'm so-so sorry about yesterday.",ROSS: I-I'm really sorry. It's just that I,0,"SPEAKER: Hi umm, listen come here, come in. I'm so-so sorry about yesterday."
"PERSON: I knew it, wow!! | PHOEBE: Wait-wait-wait, wait! Puppies. Cute or ugly? | PERSON: Ohh, so cute.","PHOEBE: Uh-huh, well! But umm, still I'm-I'm mad at you.",0,"SPEAKER: I knew it, wow!!
SPEAKER: Wait-wait-wait, wait! Puppies. Cute or ugly?
SPEAKER: Ohh, so cute."
"LEONARD: Well, that's it. | LEONARD: That's the end of Roger Abbott. | RAJ: And we still don't know who framed him. | LEONARD: I still keep thinking about how an entire life can seemingly amount to nothing.","HOWARD: I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life.",0,"SPEAKER: Well, that's it.
SPEAKER: That's the end of Roger Abbott.
SPEAKER: And we still don't know who framed him.
SPEAKER: I still keep thinking about how an entire life can seemingly amount to nothing."
ROSS: This is so exciting! I haven't seen my monkey in almost a year,CHANDLER: Why? You never look down in the shower?  Oh please I am allowed one joke in the monkey is penis genre.,1,SPEAKER: This is so exciting! I haven't seen my monkey in almost a year
"LEONARD: Okay. Well, then it's settled: small indoor church wedding, black-tie, no butterflies. | PENNY: Sounds perfect. Great. | SHELDON: You still didn't pick a date. | PENNY: Stay out of it! Shut up!","RAJ: Oh, yes, we've got the moon and the trees and... Elizabeth McNulty, who apparently died when she was the same age I am.",0,"SPEAKER: Okay. Well, then it's settled: small indoor church wedding, black-tie, no butterflies.
SPEAKER: Sounds perfect. Great.
SPEAKER: You still didn't pick a date.
SPEAKER: Stay out of it! Shut up!"
"JOEY: I don't know. But hey, I know we can decide. Okay, I'm gonna ask you questions and you answer real quick.",JOEY: Okay?,0,"SPEAKER: I don't know. But hey, I know we can decide. Okay, I'm gonna ask you questions and you answer real quick."
"JOEY: I just want to go back to my cell, cause in my cell I can smoke. | CHANDLER: Smoke away!",CHANDLER: I think this is probably why Damone smokes in his cell alone.,1,"SPEAKER: I just want to go back to my cell, cause in my cell I can smoke.
SPEAKER: Smoke away!"
"HOWARD: Say what? | HOWARD: That's basically what I just said. | LEONARD: You brought your husband to work. You know the rules. | LEONARD: Mesa thinking yousa looking pretty sad now too, betcha, betcha. | PERSON: Leonard, it's 1:00. Weren't you going to show me your laboratory at 1:00?",LEONARD: There's no hurry. Tell them more about their secret love for each other.,0,"SPEAKER: Say what?
SPEAKER: That's basically what I just said.
SPEAKER: You brought your husband to work. You know the rules.
SPEAKER: Mesa thinking yousa looking pretty sad now too, betcha, betcha.
SPEAKER: Leonard, it's 1:00. Weren't you going to show me your laboratory at 1:00?"
PHOEBE: Chandler? | CHANDLER: Hey! Ah! | MONICA: What do you think? | CHANDLER: I think I can see your scalp!,CHANDLER: What do you know? Its a treat for the eyes and the ears.,1,"SPEAKER: Chandler?
SPEAKER: Hey! Ah!
SPEAKER: What do you think?
SPEAKER: I think I can see your scalp!"
"ROSS: I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don't have to sell those cookies anymore. | PERSON: Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a | ROSS: Wow, you ah, you really like all this space stuff, huh?",PERSON: Yeah.,0,"SPEAKER: I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don't have to sell those cookies anymore.
SPEAKER: Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a
SPEAKER: Wow, you ah, you really like all this space stuff, huh?"
"LEONARD: No, that was a different, different guy. | SHELDON: Was he the one who used your head to open a nut? | SHELDON: Oh, oh, oh. | SHELDON: Was he the one who made you eat your arm hair? | LEONARD: No, but, actually, that was this guy's sister. | PENNY: All right, well, what do you think he wants? | LEONARD: I don't know.","SHELDON: You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.",1,"SPEAKER: No, that was a different, different guy.
SPEAKER: Was he the one who used your head to open a nut?
SPEAKER: Oh, oh, oh.
SPEAKER: Was he the one who made you eat your arm hair?
SPEAKER: No, but, actually, that was this guy's sister.
SPEAKER: All right, well, what do you think he wants?
SPEAKER: I don't know."
