context,text,label,preprocessed
"PENNY: Hey, how are things going with your parents? | RAJ: Not great. They hired divorce attorneys. | SHELDON: You know, speaking of attorneys, if I ever needed a lawyer, I would not hire She-Hulk.","PENNY: You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon.""",1,"speaker: hey, how are things going with your parents?. speaker: not great. they hired divorce attorneys.. speaker: you know, speaking of attorneys, if i ever needed a lawyer, i would not hire she-hulk."
"BERNADETTE: Should I give him another chance? | LEONARD: It's up to you. He didn't call your experiment stupid. | BERNADETTE: Come here, tushy face. | LEONARD: ""Tushy face. "" Raj, you should've seen Leonard's experiment.","BERNADETTE: Raj, you should've seen Leonard's experiment. The interference pattern was so cool when the electron beam was on.",0,"speaker: should i give him another chance?. speaker: it's up to you. he didn't call your experiment stupid.. speaker: come here, tushy face.. speaker: ""tushy face. "" raj, you should've seen leonard's experiment."
"SHELDON: it will establish you as the ""alpha"" male. | SHELDON: You see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin. | SHELDON: If the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love."" | LEONARD: Huh",LEONARD: Would it work if I just punched you in the face?,0,"speaker: it will establish you as the ""alpha"" male.. speaker: you see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin.. speaker: if the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love."". speaker: huh"
"CHANDLER: Yes. Yes, there is, they play on Sundays and Monday nights. | RACHEL: Oh shoot! I work Monday nights. | PHOEBE: Umm, this stuffing is amazing. Do you think we should bring them some?","JOEY: When they're hungry enough, they'll come in.",0,"speaker: yes. yes, there is, they play on sundays and monday nights.. speaker: oh shoot! i work monday nights.. speaker: umm, this stuffing is amazing. do you think we should bring them some?"
"HOWARD: Hey, have you told your parents you're dating this short glass of skim milk here? | PERSON: Uh... that's different.
First of all, we're not engaged; and second, Indian parents are very protective of their children. | HOWARD: Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.",SHELDON: I gargled with tequila and may have swallowed a teeny bit.,0,"speaker: hey, have you told your parents you're dating this short glass of skim milk here?. speaker: uh... that's different. first of all, we're not engaged; and second, indian parents are very protective of their children.. speaker: right, right, whereas jewish mothers take a casual, la-di-da approach to their sons."
"SHELDON: They're here. | LEONARD: Stay calm. We don't know anything about them yet. | LEONARD: What are you doing? | SHELDON: I'm checking for musical instruments. | SHELDON: Does that sound like castanets to you? | LEONARD: The box says ""kitchen.""","SHELDON: So? Do cocaine smugglers write ""cocaine"" on the box?",1,"speaker: they're here.. speaker: stay calm. we don't know anything about them yet.. speaker: what are you doing?. speaker: i'm checking for musical instruments.. speaker: does that sound like castanets to you?. speaker: the box says ""kitchen."""
"RAJ: You're all inside it, and we hurtle through the very fabric of time. | RAJ: (electronic sound effects playing) And welcome to 20 years in the future. | RAJ: Hey, you guys just time-traveled.
Stop looking so bored.","PENNY: Well, my beer isn't flat and my rack's not saggy. So far, the future's great.",1,"speaker: you're all inside it, and we hurtle through the very fabric of time.. speaker: (electronic sound effects playing) and welcome to 20 years in the future.. speaker: hey, you guys just time-traveled. stop looking so bored."
CHANDLER: It was summer. And it was hot. Rachel was there.,"CHANDLER: A lonely grey couch. "" O look "" cried Ned. And then the kingdom was his. The End.",0,speaker: it was summer. and it was hot. rachel was there.
"ROSS: Hi umm, listen come here, come in. I'm so-so sorry about yesterday.",ROSS: I-I'm really sorry. It's just that I,0,"speaker: hi umm, listen come here, come in. i'm so-so sorry about yesterday."
"PERSON: I knew it, wow!! | PHOEBE: Wait-wait-wait, wait! Puppies. Cute or ugly? | PERSON: Ohh, so cute.","PHOEBE: Uh-huh, well! But umm, still I'm-I'm mad at you.",0,"speaker: i knew it, wow!!. speaker: wait-wait-wait, wait! puppies. cute or ugly?. speaker: ohh, so cute."
"LEONARD: Well, that's it. | LEONARD: That's the end of Roger Abbott. | RAJ: And we still don't know who framed him. | LEONARD: I still keep thinking about how an entire life can seemingly amount to nothing.","HOWARD: I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life.",0,"speaker: well, that's it.. speaker: that's the end of roger abbott.. speaker: and we still don't know who framed him.. speaker: i still keep thinking about how an entire life can seemingly amount to nothing."
ROSS: This is so exciting! I haven't seen my monkey in almost a year,CHANDLER: Why? You never look down in the shower?  Oh please I am allowed one joke in the monkey is penis genre.,1,speaker: this is so exciting! i haven't seen my monkey in almost a year
"LEONARD: Okay. Well, then it's settled: small indoor church wedding, black-tie, no butterflies. | PENNY: Sounds perfect. Great. | SHELDON: You still didn't pick a date. | PENNY: Stay out of it! Shut up!","RAJ: Oh, yes, we've got the moon and the trees and... Elizabeth McNulty, who apparently died when she was the same age I am.",0,"speaker: okay. well, then it's settled: small indoor church wedding, black-tie, no butterflies.. speaker: sounds perfect. great.. speaker: you still didn't pick a date.. speaker: stay out of it! shut up!"
"JOEY: I don't know. But hey, I know we can decide. Okay, I'm gonna ask you questions and you answer real quick.",JOEY: Okay?,0,"speaker: i don't know. but hey, i know we can decide. okay, i'm gonna ask you questions and you answer real quick."
"JOEY: I just want to go back to my cell, cause in my cell I can smoke. | CHANDLER: Smoke away!",CHANDLER: I think this is probably why Damone smokes in his cell alone.,1,"speaker: i just want to go back to my cell, cause in my cell i can smoke.. speaker: smoke away!"
"HOWARD: Say what? | HOWARD: That's basically what I just said. | LEONARD: You brought your husband to work. You know the rules. | LEONARD: Mesa thinking yousa looking pretty sad now too, betcha, betcha. | PERSON: Leonard, it's 1:00. Weren't you going to show me your laboratory at 1:00?",LEONARD: There's no hurry. Tell them more about their secret love for each other.,0,"speaker: say what?. speaker: that's basically what i just said.. speaker: you brought your husband to work. you know the rules.. speaker: mesa thinking yousa looking pretty sad now too, betcha, betcha.. speaker: leonard, it's 1:00. weren't you going to show me your laboratory at 1:00?"
PHOEBE: Chandler? | CHANDLER: Hey! Ah! | MONICA: What do you think? | CHANDLER: I think I can see your scalp!,CHANDLER: What do you know? Its a treat for the eyes and the ears.,1,speaker: chandler?. speaker: hey! ah!. speaker: what do you think?. speaker: i think i can see your scalp!
"ROSS: I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don't have to sell those cookies anymore. | PERSON: Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a | ROSS: Wow, you ah, you really like all this space stuff, huh?",PERSON: Yeah.,0,"speaker: i mean, your dad tells me that you get a couple of days off school, and you, you ah, don't have to sell those cookies anymore.. speaker: well, i kinda wanted to sell the cookies. the girl who sells the most wins a trip to spacecamp, and gets to sit in a. speaker: wow, you ah, you really like all this space stuff, huh?"
"LEONARD: No, that was a different, different guy. | SHELDON: Was he the one who used your head to open a nut? | SHELDON: Oh, oh, oh. | SHELDON: Was he the one who made you eat your arm hair? | LEONARD: No, but, actually, that was this guy's sister. | PENNY: All right, well, what do you think he wants? | LEONARD: I don't know.","SHELDON: You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.",1,"speaker: no, that was a different, different guy.. speaker: was he the one who used your head to open a nut?. speaker: oh, oh, oh.. speaker: was he the one who made you eat your arm hair?. speaker: no, but, actually, that was this guy's sister.. speaker: all right, well, what do you think he wants?. speaker: i don't know."
"SHELDON: That's why Leonard does it. | PENNY: Okay, I just have one question. What exactly are sub-atomic particles? | SHELDON: A good question. | PENNY: Thank you. | SHELDON: And to answer it, we first must ask ourselves: ""What is physics?"" Oh, balls. It's a warm summer evening in ancient Greece.","HOWARD: Okay, I got a bone to pick with you.",0,"speaker: that's why leonard does it.. speaker: okay, i just have one question. what exactly are sub-atomic particles?. speaker: a good question.. speaker: thank you.. speaker: and to answer it, we first must ask ourselves: ""what is physics?"" oh, balls. it's a warm summer evening in ancient greece."
