tier,model_type,classifier,input_type,names_normalized,pooling,dataset,total,correct,incorrect,accuracy,tp,tn,fp,fn,precision,recall,f1,fp_rate,fn_rate
tier2,tfidf,logreg,context_text,False,NA,gold,28,18,10,0.6429,10,8,4,6,0.7143,0.625,0.6667,0.3333,0.375
tier2,tfidf,logreg,context_text,False,NA,test,67,45,22,0.6716,19,26,8,14,0.7037,0.5758,0.6333,0.2353,0.4242
tier2,tfidf,logreg,context_text,True,NA,gold,28,14,14,0.5,9,5,7,7,0.5625,0.5625,0.5625,0.5833,0.4375
tier2,tfidf,logreg,context_text,True,NA,test,67,45,22,0.6716,19,26,8,14,0.7037,0.5758,0.6333,0.2353,0.4242
tier2,tfidf,logreg,text_only,False,NA,gold,56,36,20,0.6429,20,16,8,12,0.7143,0.625,0.6667,0.3333,0.375
tier2,tfidf,logreg,text_only,False,NA,test,134,89,45,0.6642,40,49,19,26,0.678,0.6061,0.64,0.2794,0.3939
tier2,tfidf,logreg,text_only,True,NA,gold,56,35,21,0.625,20,15,9,12,0.6897,0.625,0.6557,0.375,0.375
tier2,tfidf,logreg,text_only,True,NA,test,134,78,56,0.5821,35,43,25,31,0.5833,0.5303,0.5556,0.3676,0.4697
tier2,tfidf,svm,context_text,False,NA,gold,28,17,11,0.6071,9,8,4,7,0.6923,0.5625,0.6207,0.3333,0.4375
tier2,tfidf,svm,context_text,False,NA,test,67,46,21,0.6866,20,26,8,13,0.7143,0.6061,0.6557,0.2353,0.3939
tier2,tfidf,svm,context_text,True,NA,gold,28,14,14,0.5,9,5,7,7,0.5625,0.5625,0.5625,0.5833,0.4375
tier2,tfidf,svm,context_text,True,NA,test,67,44,23,0.6567,18,26,8,15,0.6923,0.5455,0.6102,0.2353,0.4545
tier2,tfidf,svm,text_only,False,NA,gold,56,35,21,0.625,19,16,8,13,0.7037,0.5938,0.6441,0.3333,0.4062
tier2,tfidf,svm,text_only,False,NA,test,134,88,46,0.6567,40,48,20,26,0.6667,0.6061,0.6349,0.2941,0.3939
tier2,tfidf,svm,text_only,True,NA,gold,56,34,22,0.6071,19,15,9,13,0.6786,0.5938,0.6333,0.375,0.4062
tier2,tfidf,svm,text_only,True,NA,test,134,74,60,0.5522,31,43,25,35,0.5536,0.4697,0.5082,0.3676,0.5303
tier3,xlmr,logreg,context_text,False,cls,gold,28,21,7,0.75,13,8,4,3,0.7647,0.8125,0.7879,0.3333,0.1875
tier3,xlmr,logreg,context_text,False,cls,test,67,46,21,0.6866,22,24,10,11,0.6875,0.6667,0.6769,0.2941,0.3333
tier3,xlmr,logreg,context_text,False,mean,gold,28,19,9,0.6786,10,9,3,6,0.7692,0.625,0.6897,0.25,0.375
tier3,xlmr,logreg,context_text,False,mean,test,67,46,21,0.6866,20,26,8,13,0.7143,0.6061,0.6557,0.2353,0.3939
tier3,xlmr,logreg,context_text,True,cls,gold,28,20,8,0.7143,12,8,4,4,0.75,0.75,0.75,0.3333,0.25
tier3,xlmr,logreg,context_text,True,cls,test,67,41,26,0.6119,21,20,14,12,0.6,0.6364,0.6176,0.4118,0.3636
tier3,xlmr,logreg,context_text,True,mean,gold,28,18,10,0.6429,10,8,4,6,0.7143,0.625,0.6667,0.3333,0.375
tier3,xlmr,logreg,context_text,True,mean,test,67,42,25,0.6269,19,23,11,14,0.6333,0.5758,0.6032,0.3235,0.4242
tier3,xlmr,logreg,text_only,False,cls,gold,56,37,19,0.6607,22,15,9,10,0.7097,0.6875,0.6984,0.375,0.3125
tier3,xlmr,logreg,text_only,False,cls,test,134,84,50,0.6269,45,39,29,21,0.6081,0.6818,0.6429,0.4265,0.3182
tier3,xlmr,logreg,text_only,False,mean,gold,56,38,18,0.6786,20,18,6,12,0.7692,0.625,0.6897,0.25,0.375
tier3,xlmr,logreg,text_only,False,mean,test,134,90,44,0.6716,43,47,21,23,0.6719,0.6515,0.6615,0.3088,0.3485
tier3,xlmr,logreg,text_only,True,cls,gold,56,40,16,0.7143,22,18,6,10,0.7857,0.6875,0.7333,0.25,0.3125
tier3,xlmr,logreg,text_only,True,cls,test,134,86,48,0.6418,45,41,27,21,0.625,0.6818,0.6522,0.3971,0.3182
tier3,xlmr,logreg,text_only,True,mean,gold,56,40,16,0.7143,23,17,7,9,0.7667,0.7188,0.7419,0.2917,0.2812
tier3,xlmr,logreg,text_only,True,mean,test,134,83,51,0.6194,40,43,25,26,0.6154,0.6061,0.6107,0.3676,0.3939
