tier,model_type,classifier,input_type,pooling,dataset,accuracy_original,accuracy_normalized,accuracy_diff,f1_original,f1_normalized,f1_diff,fp_original,fp_normalized,fp_diff,fn_original,fn_normalized,fn_diff
tier2,tfidf,logreg,context_text,NA,gold,0.6429,0.5,-0.1429,0.6667,0.5625,-0.1042,4,7,3,6,7,1
tier2,tfidf,logreg,context_text,NA,test,0.6716,0.6716,0.0,0.6333,0.6333,0.0,8,8,0,14,14,0
tier2,tfidf,logreg,text_only,NA,gold,0.6429,0.625,-0.0179,0.6667,0.6557,-0.011,8,9,1,12,12,0
tier2,tfidf,logreg,text_only,NA,test,0.6642,0.5821,-0.0821,0.64,0.5556,-0.0844,19,25,6,26,31,5
tier2,tfidf,svm,context_text,NA,gold,0.6071,0.5,-0.1071,0.6207,0.5625,-0.0582,4,7,3,7,7,0
tier2,tfidf,svm,context_text,NA,test,0.6866,0.6567,-0.0299,0.6557,0.6102,-0.0455,8,8,0,13,15,2
tier2,tfidf,svm,text_only,NA,gold,0.625,0.6071,-0.0179,0.6441,0.6333,-0.0108,8,9,1,13,13,0
tier2,tfidf,svm,text_only,NA,test,0.6567,0.5522,-0.1045,0.6349,0.5082,-0.1267,20,25,5,26,35,9
tier3,xlmr,logreg,context_text,cls,gold,0.75,0.7143,-0.0357,0.7879,0.75,-0.0379,4,4,0,3,4,1
tier3,xlmr,logreg,context_text,cls,test,0.6866,0.6119,-0.0747,0.6769,0.6176,-0.0593,10,14,4,11,12,1
tier3,xlmr,logreg,context_text,mean,gold,0.6786,0.6429,-0.0357,0.6897,0.6667,-0.023,3,4,1,6,6,0
tier3,xlmr,logreg,context_text,mean,test,0.6866,0.6269,-0.0597,0.6557,0.6032,-0.0525,8,11,3,13,14,1
tier3,xlmr,logreg,text_only,cls,gold,0.6607,0.7143,0.0536,0.6984,0.7333,0.0349,9,6,-3,10,10,0
tier3,xlmr,logreg,text_only,cls,test,0.6269,0.6418,0.0149,0.6429,0.6522,0.0093,29,27,-2,21,21,0
tier3,xlmr,logreg,text_only,mean,gold,0.6786,0.7143,0.0357,0.6897,0.7419,0.0522,6,7,1,12,9,-3
tier3,xlmr,logreg,text_only,mean,test,0.6716,0.6194,-0.0522,0.6615,0.6107,-0.0508,21,25,4,23,26,3
