tier,model,condition,dataset,accuracy,precision_macro,recall_macro,f1_macro,tn,fp,fn,tp
tier1,random,NA,test,0.5074626865671642,0.5067567567567568,0.5066844919786097,0.5057008718980549,19,15,18,15
tier1,majority,NA,test,0.5074626865671642,0.2537313432835821,0.5,0.33663366336633666,34,0,33,0
tier1,random,NA,gold,0.5357142857142857,0.5410256410256411,0.5416666666666667,0.5351213282247764,7,5,8,8
tier1,majority,NA,gold,0.42857142857142855,0.21428571428571427,0.5,0.3,12,0,16,0
tier2,tfidf_logreg,text_only_original,test,0.6865671641791045,0.6866071428571429,0.6862745098039216,0.6862876254180602,24,10,11,22
tier2,tfidf_logreg,text_only_original,gold,0.75,0.7461538461538462,0.75,0.7470967741935484,9,3,4,12
tier2,tfidf_svm,text_only_original,test,0.6417910447761194,0.6433756805807622,0.6408199643493762,0.6397849462365591,24,10,14,19
tier2,tfidf_svm,text_only_original,gold,0.7142857142857143,0.7142857142857143,0.71875,0.7128205128205127,9,3,5,11
tier2,tfidf_logreg,text_only_normalized,test,0.5373134328358209,0.5375234521575984,0.535650623885918,0.5306214689265537,22,12,19,14
tier2,tfidf_logreg,text_only_normalized,gold,0.6071428571428571,0.6128205128205129,0.6145833333333333,0.6066411238825031,8,4,7,9
tier2,tfidf_svm,text_only_normalized,test,0.5522388059701493,0.5538095238095239,0.5503565062388592,0.544010889292196,23,11,19,14
tier2,tfidf_svm,text_only_normalized,gold,0.6071428571428571,0.6128205128205129,0.6145833333333333,0.6066411238825031,8,4,7,9
tier2,tfidf_logreg,context_text_original,test,0.6716417910447762,0.6768518518518518,0.6702317290552584,0.668018018018018,26,8,14,19
tier2,tfidf_logreg,context_text_original,gold,0.6428571428571429,0.6428571428571428,0.6458333333333333,0.641025641025641,8,4,6,10
tier2,tfidf_svm,context_text_original,test,0.6865671641791045,0.6904761904761905,0.6853832442067735,0.6840332360206602,26,8,13,20
tier2,tfidf_svm,context_text_original,gold,0.6071428571428571,0.6128205128205129,0.6145833333333333,0.6066411238825031,8,4,7,9
tier2,tfidf_logreg,context_text_normalized,test,0.6716417910447762,0.6768518518518518,0.6702317290552584,0.668018018018018,26,8,14,19
tier2,tfidf_logreg,context_text_normalized,gold,0.5,0.48958333333333337,0.48958333333333337,0.48958333333333337,5,7,7,9
tier2,tfidf_svm,context_text_normalized,test,0.6567164179104478,0.6632270168855534,0.6550802139037433,0.6517514124293786,26,8,15,18
tier2,tfidf_svm,context_text_normalized,gold,0.5,0.48958333333333337,0.48958333333333337,0.48958333333333337,5,7,7,9
tier2,tfidf_logreg,context_only_original,test,0.6417910447761194,0.6458333333333333,0.6403743315508021,0.6378378378378378,25,9,15,18
tier2,tfidf_logreg,context_only_original,gold,0.5357142857142857,0.5410256410256411,0.5416666666666667,0.5351213282247764,7,5,8,8
tier2,tfidf_svm,context_only_original,test,0.6716417910447762,0.6720430107526881,0.6711229946524064,0.6709821428571429,24,10,12,21
tier2,tfidf_svm,context_only_original,gold,0.5357142857142857,0.5410256410256411,0.5416666666666667,0.5351213282247764,7,5,8,8
tier2,tfidf_logreg,context_only_normalized,test,0.6268656716417911,0.6270053475935828,0.6270053475935828,0.6268656716417911,21,13,12,21
tier2,tfidf_logreg,context_only_normalized,gold,0.6428571428571429,0.6354166666666667,0.6354166666666667,0.6354166666666667,7,5,5,11
tier2,tfidf_svm,context_only_normalized,test,0.5522388059701493,0.5519713261648745,0.5516934046345812,0.5513392857142857,20,14,16,17
tier2,tfidf_svm,context_only_normalized,gold,0.6071428571428571,0.6025641025641025,0.6041666666666667,0.6025806451612903,7,5,6,10
tier3,xlmr_logreg,text_only_original_cls,test,0.6119402985074627,0.624031007751938,0.6140819964349375,0.6048094373865699,16,18,8,25
tier3,xlmr_logreg,text_only_original_cls,gold,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7083333333333333,8,4,4,12
tier3,xlmr_logreg,text_only_original_mean,test,0.6865671641791045,0.6881720430107527,0.6871657754010696,0.6862876254180602,22,12,9,24
tier3,xlmr_logreg,text_only_original_mean,gold,0.8214285714285714,0.820855614973262,0.8125,0.8155467720685112,9,3,2,14
tier3,xlmr_logreg,text_only_normalized_cls,test,0.6268656716417911,0.6333333333333333,0.6283422459893049,0.623849090500786,18,16,9,24
tier3,xlmr_logreg,text_only_normalized_cls,gold,0.7142857142857143,0.7142857142857143,0.71875,0.7128205128205127,9,3,5,11
tier3,xlmr_logreg,text_only_normalized_mean,test,0.5970149253731343,0.596875,0.5967023172905526,0.5966555183946489,21,13,14,19
tier3,xlmr_logreg,text_only_normalized_mean,gold,0.7857142857142857,0.78125,0.78125,0.78125,9,3,3,13
tier3,xlmr_logreg,context_text_original_cls,test,0.6865671641791045,0.6866071428571429,0.6862745098039216,0.6862876254180602,24,10,11,22
tier3,xlmr_logreg,context_text_original_cls,gold,0.75,0.7459893048128342,0.7395833333333333,0.7417654808959157,8,4,3,13
tier3,xlmr_logreg,context_text_original_mean,test,0.6865671641791045,0.6904761904761905,0.6853832442067735,0.6840332360206602,26,8,13,20
tier3,xlmr_logreg,context_text_original_mean,gold,0.6785714285714286,0.6846153846153846,0.6875,0.6781609195402298,9,3,6,10
tier3,xlmr_logreg,context_text_normalized_cls,test,0.6119402985074627,0.6125,0.6122994652406417,0.6118538324420677,20,14,12,21
tier3,xlmr_logreg,context_text_normalized_cls,gold,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7083333333333333,8,4,4,12
tier3,xlmr_logreg,context_text_normalized_mean,test,0.6268656716417911,0.6274774774774774,0.626114081996435,0.6255309635591326,23,11,14,19
tier3,xlmr_logreg,context_text_normalized_mean,gold,0.6428571428571429,0.6428571428571428,0.6458333333333333,0.641025641025641,8,4,6,10
tier3,xlmr_logreg,context_only_original_cls,test,0.6417910447761194,0.6420250896057347,0.6412655971479502,0.6410714285714285,23,11,13,20
tier3,xlmr_logreg,context_only_original_cls,gold,0.6071428571428571,0.6025641025641025,0.6041666666666667,0.6025806451612903,7,5,6,10
tier3,xlmr_logreg,context_only_original_mean,test,0.6567164179104478,0.6597985347985349,0.6555258467023173,0.653941163260723,25,9,14,19
tier3,xlmr_logreg,context_only_original_mean,gold,0.5357142857142857,0.5701754385964912,0.5625,0.5303225806451612,9,3,10,6
tier3,xlmr_logreg,context_only_normalized_cls,test,0.6567164179104478,0.6566964285714285,0.6564171122994653,0.6564102564102564,23,11,12,21
